id,date,time,ticker,period,currency,eps,eps_est,eps_prior,eps_surprise,eps_surprise_percent,eps_type,exchange,importance,name,notes,period_year,revenue,revenue_est,revenue_prior,revenue_surprise,revenue_surprise_percent,revenue_type,date_confirmed,updated
5f114ca7dc821b000168a650,2021-07-20,06:20:00,CFG,Q2,USD,,1.090,0.530,,,,NYSE,3,Citizens Financial Group,,2021,,1630000000.000,1750000000.000,,,,1,1626191953
5f169463a939b200013fd0ae,2021-07-20,06:00:00,SYF,Q2,USD,,1.390,0.060,,,,NYSE,3,Synchrony Finl,,2021,,3460000000.000,3396000000.000,,,,1,1626191949
5f17e4778caf190001e02092,2021-07-20,16:10:00,CMG,Q2,USD,,6.490,0.400,,,,NYSE,3,Chipotle Mexican Grill,,2021,,1880000000.000,1365000000.000,,,,1,1626191949
5f169348a939b200013fd054,2021-07-20,08:30:00,GATX,Q2,USD,,1.020,1.050,,,,NYSE,3,GATX,,2021,,312750000.000,300500000.000,,,,1,1626191947
5f169376a939b200013fd066,2021-07-20,16:05:00,ISRG,Q2,USD,,3.060,1.110,,,,NASDAQ,3,Intuitive Surgical,,2021,,1260000000.000,852100000.000,,,,1,1626191947
5f169288a939b200013fd02c,2021-07-20,16:05:00,AIR,Q4,USD,,0.450,0.260,,,,NYSE,3,AAR,,2021,,421740000.000,416500000.000,,,,1,1626191945
5f1692cba939b200013fd03e,2021-07-20,16:00:00,CNI,Q2,USD,,1.210,0.920,,,,NYSE,3,Canadian National Railway,,2021,,2940000000.000,2315000000.000,,,,1,1626191945
5f114c82dc821b000168a646,2021-07-20,07:30:00,ALLY,Q2,USD,,1.460,0.610,,,,NYSE,3,Ally Financial,,2021,,1870000000.000,1528000000.000,,,,1,1626191944
5f1541a45acc770001de8b27,2021-07-20,07:30:00,MAN,Q2,USD,,1.410,0.180,,,,NYSE,3,ManpowerGroup,,2021,,5150000000.000,3742000000.000,,,,1,1626191944
5f1935c348c340000105e25e,2021-07-20,07:00:00,TRV,Q2,USD,,2.330,-0.200,,,,NYSE,4,Travelers Companies,,2021,,7720000000.000,7401000000.000,,,,1,1626191942
5f16948ea939b200013fd0b8,2021-07-20,17:00:00,UAL,Q2,USD,,-4.230,-9.310,,,,NASDAQ,4,United Airlines Holdings,,2021,,5250000000.000,1475000000.000,,,,1,1626191941
5f169411a939b200013fd094,2021-07-20,07:00:00,PM,Q2,USD,,1.550,1.290,,,,NYSE,4,Philip Morris Intl,,2021,,7670000000.000,6651000000.000,,,,1,1626191940
5f0ffbbaab31c20001f934d7,2021-07-20,16:00:00,NFLX,Q2,USD,,3.150,1.590,,,,NASDAQ,5,Netflix,,2021,,7320000000.000,6148000000.000,,,,1,1626191939
5f15417b5acc770001de8b1d,2021-07-20,07:00:00,HAL,Q2,USD,,0.230,0.050,,,,NYSE,4,Halliburton,,2021,,3740000000.000,3196000000.000,,,,1,1626191939
5f17e5e98caf190001e02116,2021-07-20,16:05:00,RUSHB,Q2,USD,,,0.460,,,,NASDAQ,0,Rush Enterprises,,2021,,,1003000000.000,,,,1,1625696294
5f1fce110132700001765457,2021-07-20,16:15:00,PZN,Q2,USD,,,0.130,,,,NYSE,0,Pzena Investment Mgmt,,2021,,,30131000.000,,,,1,1625693435
5f0ffc0aab31c20001f934e7,2021-07-20,03:00:00,TELNY,Q2,USD,,,0.190,,,,OTC,0,Telenor,,2021,,,3087000000.000,,,,1,1625649630
5fbf52b995505d0001cd2cd0,2021-07-20,02:00:00,VLVLY,Q2,USD,,,-0.010,,,,OTC,0,Volvo,,2021,,,7564000000.000,,,,1,1625649497
5f16948fa939b200013fd0bc,2021-07-20,08:00:00,UBS,Q2,USD,,,0.330,,,,NYSE,4,UBS Group,,2021,,,7403000000.000,,,,1,1624950158
5f114d06dc821b000168a660,2021-07-20,08:00:00,KNYJY,Q2,USD,,,0.520,,,,OTC,0,KONE,,2021,,,2789000000.000,,,,1,1624950093
