time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,lastYearRptDt,lastYearEPS
time-not-supplied,DLX,Deluxe Corporation,"$1,860,245,426",Jun/2021,,3,NA,$1.05
time-not-supplied,PACK,Ranpak Holdings Corp,"$1,850,905,334",Jun/2021,,3,NA,($0.12)
time-not-supplied,CRS,Carpenter Technology Corporation,"$1,840,600,954",Jun/2021,($0.51),3,07/30/2020,($0.31)
time-pre-market,HNI,HNI Corporation,"$1,807,862,531",Jun/2021,,3,NA,$0.20
time-after-hours,EGO,Eldorado Gold Corporation,"$1,792,617,315",Jun/2021,$0.11,3,07/30/2020,$0.26
time-not-supplied,PATK,"Patrick Industries, Inc.","$1,729,940,688",Jun/2021,$1.83,2,07/30/2020,$0.03
time-pre-market,GWB,"Great Western Bancorp, Inc.","$1,693,573,414",Jun/2021,$0.75,4,07/29/2020,$0.10
time-not-supplied,CBZ,"CBIZ, Inc.","$1,684,196,740",Jun/2021,$0.38,1,07/30/2020,$0.39
time-not-supplied,COHU,"Cohu, Inc.","$1,662,132,323",Jun/2021,$0.72,4,07/30/2020,$0.10
time-pre-market,PTEN,"Patterson-UTI Energy, Inc.","$1,608,041,590",Jun/2021,($0.52),7,07/23/2020,($0.56)
time-pre-market,CLI,Mack-Cali Realty Corporation,"$1,603,210,567",Jun/2021,$0.12,4,08/03/2020,$0.28
time-not-supplied,SAND,Sandstorm Gold Ltd,"$1,548,776,802",Jun/2021,$0.06,3,07/30/2020,$0.04
time-after-hours,LTC,"LTC Properties, Inc.","$1,534,432,965",Jun/2021,$0.68,3,07/30/2020,$0.76
time-not-supplied,MGNX,"MacroGenics, Inc.","$1,480,497,796",Jun/2021,($0.27),6,07/30/2020,($0.94)
time-not-supplied,TNC,Tennant Company,"$1,430,792,691",Jun/2021,$1.02,1,07/30/2020,$0.96
time-after-hours,POLY,"Plantronics, Inc.","$1,428,310,288",Jun/2021,$0.20,2,07/28/2020,$0.15
time-after-hours,OPI,Office Properties Income Trust,"$1,419,593,593",Jun/2021,$1.13,3,07/30/2020,$1.40
time-not-supplied,LADR,Ladder Capital Corp,"$1,408,714,348",Jun/2021,($0.01),2,07/30/2020,$0.10
time-not-supplied,GFF,Griffon Corporation,"$1,396,681,908",Jun/2021,$0.41,2,07/30/2020,$0.59
time-after-hours,VCRA,"Vocera Communications, Inc.","$1,368,823,669",Jun/2021,($0.13),5,07/27/2020,($0.10)
time-not-supplied,MGPI,"MGP Ingredients, Inc.","$1,358,099,831",Jun/2021,$0.43,1,07/30/2020,$0.54
time-pre-market,PBF,PBF Energy Inc.,"$1,296,753,043",Jun/2021,($0.95),10,07/31/2020,($3.19)
time-not-supplied,AROC,"Archrock, Inc.","$1,295,594,190",Jun/2021,$0.06,1,07/30/2020,$0.12
time-pre-market,CMCO,Columbus McKinnon Corporation,"$1,294,603,632",Jun/2021,$0.41,4,07/30/2020,$0.07
time-not-supplied,TBBK,"The Bancorp, Inc.","$1,294,375,312",Jun/2021,$0.43,2,07/30/2020,$0.35
time-pre-market,TRS,TriMas Corporation,"$1,271,168,609",Jun/2021,$0.57,2,07/30/2020,$0.43
time-not-supplied,QURE,uniQure N.V.,"$1,243,641,661",Jun/2021,$2.85,6,07/30/2020,($0.96)
time-pre-market,MTLS,Materialise NV,"$1,221,582,747",Jun/2021,($0.05),2,07/30/2020,($0.04)
time-after-hours,OCFC,OceanFirst Financial Corp.,"$1,207,249,463",Jun/2021,$0.43,6,07/23/2020,$0.36
time-pre-market,CCO,"Clear Channel Outdoor Holdings, Inc.","$1,186,499,628",Jun/2021,($0.24),2,08/07/2020,($0.30)
time-pre-market,WFRD,Weatherford International plc,"$1,179,420,973",Jun/2021,($1.55),3,NA,NA
time-not-supplied,NGD,New Gold Inc.,"$1,177,611,000",Jun/2021,$0.05,3,07/30/2020,$0
time-after-hours,NXGN,"NextGen Healthcare, Inc.","$1,096,630,137",Jun/2021,$0.14,7,07/30/2020,$0.15
time-not-supplied,NEXA,Nexa Resources S.A.,"$1,096,591,699",Jun/2021,$0.36,2,07/30/2020,($0.44)
time-after-hours,MATW,Matthews International Corporation,"$1,093,722,055",Jun/2021,$0.80,1,07/30/2020,$0.80
time-not-supplied,ALTM,Altus Midstream Company,"$1,056,019,900",Jun/2021,$1.41,1,07/30/2020,$2.16
time-after-hours,HURN,Huron Consulting Group Inc.,"$1,052,807,756",Jun/2021,$0.46,3,07/30/2020,$0.68
time-after-hours,TRVG,trivago N.V.,"$1,052,587,181",Jun/2021,($0.02),4,07/28/2020,($0.06)
time-not-supplied,MX,MagnaChip Semiconductor Corporation,"$1,048,551,401",Jun/2021,$0.17,2,07/30/2020,$0.13
time-after-hours,BJRI,"BJ's Restaurants, Inc.","$1,032,213,525",Jun/2021,$0.16,9,07/23/2020,($0.99)
time-pre-market,CNOB,"ConnectOne Bancorp, Inc.","$1,030,136,291",Jun/2021,$0.72,3,07/30/2020,$0.52
time-not-supplied,DRQ,"Dril-Quip, Inc.","$1,024,272,453",Jun/2021,($0.08),4,07/30/2020,($0.34)
time-after-hours,PFC,Premier Financial Corp. ,"$1,018,771,448",Jun/2021,$0.79,3,07/28/2020,$0.82
time-not-supplied,CRY,"CryoLife, Inc.","$1,011,074,590",Jun/2021,($0.05),1,07/30/2020,($0.02)
time-after-hours,NTST,NetSTREIT Corp.,"$987,105,520",Jun/2021,$0.19,3,NA,NA
time-after-hours,ASPN,"Aspen Aerogels, Inc.","$970,713,313",Jun/2021,($0.26),3,07/30/2020,($0.21)
time-after-hours,KRNY,Kearny Financial,"$954,165,011",Jun/2021,$0.21,1,07/30/2020,$0.17
time-pre-market,RFP,Resolute Forest Products Inc.,"$950,675,226",Jun/2021,,3,NA,($0.25)
time-not-supplied,KNSA,"Kiniksa Pharmaceuticals, Ltd.","$923,849,099",Jun/2021,($0.69),2,07/30/2020,($0.65)
time-pre-market,DBD,Diebold Nixdorf Incorporated,"$908,230,063",Jun/2021,$0.29,3,07/30/2020,$0.38
time-not-supplied,MGI,"Moneygram International, Inc.","$903,497,174",Jun/2021,($0.01),3,07/30/2020,$0
time-not-supplied,TVTX,"Travere Therapeutics, Inc.","$897,191,585",Jun/2021,($0.73),4,07/30/2020,($0.58)
time-not-supplied,ORBC,ORBCOMM Inc.,"$887,371,791",Jun/2021,($0.05),3,07/30/2020,($0.09)
time-not-supplied,CARS,Cars.com Inc.,"$886,188,772",Jun/2021,,0,07/30/2020,$0.06
time-after-hours,BY,"Byline Bancorp, Inc.","$884,229,552",Jun/2021,$0.48,2,07/23/2020,$0.24
time-pre-market,PBFX,PBF Logistics LP,"$883,097,065",Jun/2021,,0,07/31/2020,$0.60
time-not-supplied,MITK,"Mitek Systems, Inc.","$809,021,707",Jun/2021,$0.10,2,07/30/2020,$0.11
time-after-hours,MERC,Mercer International Inc.,"$805,057,955",Jun/2021,$0.57,1,07/30/2020,($0.13)
time-not-supplied,UTL,UNITIL Corporation,"$801,323,457",Jun/2021,$0.17,2,07/30/2020,$0.21
time-not-supplied,MYE,"Myers Industries, Inc.","$757,813,875",Jun/2021,$0.24,1,07/30/2020,$0.23
time-pre-market,ABTX,"Allegiance Bancshares, Inc.","$752,826,459",Jun/2021,$0.93,3,07/30/2020,$0.48
time-after-hours,MRC,MRC Global Inc.,"$717,800,903",Jun/2021,$0.04,5,07/28/2020,($0.10)
time-pre-market,CNSL,"Consolidated Communications Holdings, Inc.","$687,857,506",Jun/2021,,3,NA,$0.18
time-pre-market,CBTX,"CBTX, Inc.","$676,343,222",Jun/2021,$0.43,1,07/29/2020,$0.09
time-not-supplied,CASA,"Casa Systems, Inc.","$673,898,961",Jun/2021,($0.01),4,07/30/2020,($0.03)
time-not-supplied,FMBH,"First Mid Bancshares, Inc.","$670,796,595",Jun/2021,$0.93,4,07/30/2020,$0.60
time-not-supplied,LOCO,"El Pollo Loco Holdings, Inc.","$666,808,316",Jun/2021,$0.27,4,07/30/2020,$0.20
time-after-hours,ULH,"Universal Logistics Holdings, Inc.","$628,838,468",Jun/2021,$0.81,1,07/30/2020,$0.21
time-pre-market,ONEW,OneWater Marine Inc.,"$617,351,935",Jun/2021,$2.38,4,07/30/2020,$2.36
time-not-supplied,DCO,Ducommun Incorporated,"$615,349,572",Jun/2021,$0.65,2,07/30/2020,$0.48
time-not-supplied,CRAI,"CRA International,Inc.","$602,587,287",Jun/2021,$0.93,3,07/30/2020,$0.80
time-not-supplied,EVLO,"Evelo Biosciences, Inc.","$587,112,702",Jun/2021,($0.55),3,07/30/2020,($0.63)
time-not-supplied,ANIK,Anika Therapeutics Inc.,"$586,875,623",Jun/2021,$0.04,1,07/30/2020,$0.09
time-not-supplied,OPY,"Oppenheimer Holdings, Inc.","$564,894,577",Jun/2021,,3,NA,$1.34
time-not-supplied,ORC,"Orchid Island Capital, Inc.","$545,662,068",Jun/2021,,0,07/30/2020,$0.30
time-not-supplied,LXRX,"Lexicon Pharmaceuticals, Inc.","$532,790,978",Jun/2021,($0.16),2,07/30/2020,($0.64)
time-after-hours,BZH,"Beazer Homes USA, Inc.","$525,741,535",Jun/2021,$0.90,1,07/30/2020,$0.63
time-not-supplied,FLIC,The First of Long Island Corporation,"$504,462,479",Jun/2021,$0.45,2,07/30/2020,$0.45
time-pre-market,AMAL,Amalgamated Financial Corp.,"$483,733,386",Jun/2021,$0.36,3,07/28/2020,$0.34
time-not-supplied,TDW,Tidewater Inc.,"$475,916,782",Jun/2021,,3,NA,$0.02
time-pre-market,LAWS,"Lawson Products, Inc.","$473,999,077",Jun/2021,$0.52,1,07/30/2020,$0.07
time-after-hours,FISI,"Financial Institutions, Inc.","$470,434,878",Jun/2021,$0.80,1,07/29/2020,$0.67
time-not-supplied,MOFG,"MidWestOne Financial Group, Inc.","$464,035,909",Jun/2021,$0.91,3,07/30/2020,$0.73
time-pre-market,WTBA,West Bancorporation,"$460,555,815",Jun/2021,$0.62,1,07/23/2020,$0.48
time-pre-market,IBCP,Independent Bank Corporation,"$459,451,955",Jun/2021,$0.70,3,07/28/2020,$0.67
time-not-supplied,GTX,Garrett Motion Inc.,"$457,201,681",Jun/2021,($0.18),1,07/30/2020,$0.07
time-not-supplied,BWB,"Bridgewater Bancshares, Inc.","$456,196,879",Jun/2021,$0.37,3,07/30/2020,$0.26
time-not-supplied,HAYN,"Haynes International, Inc.","$447,150,845",Jun/2021,($0.17),1,07/30/2020,($0.65)
time-not-supplied,ATER,"Aterian, Inc.","$394,344,586",Jun/2021,($0.17),2,07/30/2020,($0.19)
time-after-hours,FRST,Primis Financial Corp.,"$364,276,692",Jun/2021,$0.25,2,07/27/2020,$0.19
time-not-supplied,TUEM,Tuesday Morning Corp.,"$361,997,890",Jun/2021,$0.03,3,NA,NA
time-not-supplied,UONE,"Urban One, Inc. ","$348,243,912",Jun/2021,,3,NA,$0.03
time-after-hours,LLNW,"Limelight Networks, Inc.","$339,359,122",Jun/2021,($0.07),4,07/20/2020,($0.01)
time-after-hours,CTO,"CTO Realty Growth, Inc.","$330,999,618",Jun/2021,$1.02,2,07/29/2020,NA
time-pre-market,MIXT,MiX Telematics Limited,"$323,378,919",Jun/2021,$0.11,2,07/30/2020,$0.08
time-not-supplied,CARE,"Carter Bankshares, Inc.","$299,873,727",Jun/2021,$0.29,3,NA,NA
time-not-supplied,SMMF,"Summit Financial Group, Inc.","$295,622,060",Jun/2021,$0.79,2,07/30/2020,$0.54
time-after-hours,BHR,Braemar Hotels & Resorts Inc.,"$285,177,260",Jun/2021,$0.06,2,07/30/2020,($0.58)
time-pre-market,SILC,Silicom Ltd,"$283,179,033",Jun/2021,,3,NA,$0.18
time-not-supplied,MRLN,Marlin Business Services Corp.,"$272,489,519",Jun/2021,,3,NA,($0.43)
time-not-supplied,WRAP,"Wrap Technologies, Inc.","$259,554,591",Jun/2021,($0.13),1,07/30/2020,($0.09)
time-not-supplied,FDBC,"Fidelity D & D Bancorp, Inc.","$255,449,904",Jun/2021,,3,NA,$0.05
time-not-supplied,PFBI,"Premier Financial Bancorp, Inc.","$245,603,697",Jun/2021,,3,NA,$0.37
time-not-supplied,UONEK,"Urban One, Inc. ","$243,770,738",Jun/2021,,3,NA,$0.03
time-not-supplied,ESXB,Community Bankers Trust Corporation.,"$243,031,997",Jun/2021,$0.23,1,07/30/2020,$0.18
time-not-supplied,TBNK,Territorial Bancorp Inc.,"$239,975,391",Jun/2021,$0.41,1,07/30/2020,$0.47
time-not-supplied,GAU,Galiano Gold Inc.,"$233,660,045",Jun/2021,$0.02,1,07/30/2020,$0.07
time-not-supplied,INFI,"Infinity Pharmaceuticals, Inc.","$231,369,299",Jun/2021,($0.13),5,07/30/2020,($0.16)
time-not-supplied,DLA,"Delta Apparel, Inc.","$226,397,463",Jun/2021,$0.90,1,07/30/2020,($2.58)
time-after-hours,CDR,"Cedar Realty Trust, Inc.","$226,362,873",Jun/2021,$0.64,3,08/10/2020,$0.40
time-not-supplied,LAZY,"Lazydays Holdings, Inc.","$221,387,147",Jun/2021,$1.10,1,07/30/2020,$0.39
time-not-supplied,MFNC,Mackinac Financial Corporation,"$209,214,293",Jun/2021,,3,NA,$0.33
time-not-supplied,FNWB,First Northwest Bancorp,"$181,487,273",Jun/2021,,3,NA,$0.21
time-not-supplied,ACET,"Adicet Bio, Inc.","$181,205,909",Jun/2021,($0.50),2,07/30/2020,($1.05)
time-not-supplied,TUSK,"Mammoth Energy Services, Inc.","$180,187,621",Jun/2021,,3,NA,($0.33)
time-pre-market,BSVN,Bank7 Corp.,"$167,230,250",Jun/2021,$0.57,1,07/27/2020,$0.54
time-not-supplied,RVSB,Riverview Bancorp Inc,"$160,258,354",Jun/2021,$0.14,1,07/30/2020,$0.02
time-not-supplied,HWBK,"Hawthorn Bancshares, Inc.","$153,513,820",Jun/2021,,3,NA,$0.49
time-not-supplied,LTRN,Lantern Pharma Inc.,"$149,272,317",Jun/2021,($0.25),2,07/30/2020,($0.31)
time-not-supplied,CZWI,"Citizens Community Bancorp, Inc.","$148,084,320",Jun/2021,$0.34,2,07/30/2020,$0.25
time-not-supplied,XFOR,"X4 Pharmaceuticals, Inc.","$146,618,360",Jun/2021,($0.73),6,07/30/2020,($0.76)
time-not-supplied,GHM,Graham Corporation,"$144,255,126",Jun/2021,$0,1,07/30/2020,($0.18)
time-pre-market,ULBI,Ultralife Corporation,"$133,934,450",Jun/2021,,3,NA,$0.13
time-after-hours,USAK,"USA Truck, Inc.","$132,626,862",Jun/2021,$0.50,1,07/27/2020,($0.06)
time-not-supplied,ODT,"Odonate Therapeutics, Inc.","$130,924,170",Jun/2021,,0,07/30/2020,($1.09)
time-after-hours,GSIT,"GSI Technology, Inc.","$128,270,855",Jun/2021,,3,NA,($0.26)
time-not-supplied,AAIC,Arlington Asset Investment Corp,"$125,889,240",Jun/2021,,0,07/30/2020,($0.01)
time-not-supplied,AUBN,"Auburn National Bancorporation, Inc.","$123,608,859",Jun/2021,,3,NA,$0.47
time-not-supplied,RBKB,"Rhinebeck Bancorp, Inc.","$118,569,538",Jun/2021,,3,NA,$0.13
time-not-supplied,CLDB,Cortland Bancorp,"$113,990,703",Jun/2021,,3,NA,$0.47
time-not-supplied,IFRX,InflaRx N.V.,"$113,558,737",Jun/2021,($0.25),4,07/30/2020,($0.42)
time-pre-market,NREF,"NexPoint Real Estate Finance, Inc.","$104,694,452",Jun/2021,$0.52,1,08/06/2020,$0.37
time-not-supplied,ISDR,Issuer Direct Corporation,"$103,940,910",Jun/2021,$0.20,1,07/30/2020,$0.25
time-not-supplied,CRVS,"Corvus Pharmaceuticals, Inc.","$98,072,450",Jun/2021,($0.35),2,07/30/2020,($0.36)
time-not-supplied,AVGR,"Avinger, Inc.","$96,305,017",Jun/2021,($0.04),1,07/30/2020,($0.18)
time-not-supplied,MKTY,Mechanical Technology Incorporated,"$89,971,342",Jun/2021,,3,NA,$0.06
time-pre-market,NWHM,New Home Company Inc. (The),"$89,496,747",Jun/2021,,3,NA,($0.04)
time-not-supplied,NICK,"Nicholas Financial, Inc.","$86,779,000",Jun/2021,,3,NA,$0.18
time-not-supplied,DVD,"Dover Motorsports, Inc.","$82,731,491",Jun/2021,,3,NA,($0.02)
time-not-supplied,HFBL,"Home Federal Bancorp, Inc. of Louisiana","$64,551,638",Jun/2021,,3,NA,$0.31
time-not-supplied,DWSN,Dawson Geophysical Company,"$64,329,917",Jun/2021,,3,NA,$0.06
time-not-supplied,EKSO,"Ekso Bionics Holdings, Inc.","$58,972,272",Jun/2021,($0.25),1,07/30/2020,($0.51)
time-after-hours,AINC,Ashford Inc.,"$57,469,133",Jun/2021,$0.06,2,07/30/2020,$0.08
time-after-hours,QUMU,Qumu Corporation,"$48,377,375",Jun/2021,($0.27),2,07/28/2020,($0.06)
time-after-hours,DAIO,Data I/O Corporation,"$47,527,507",Jun/2021,,3,NA,($0.13)
time-not-supplied,NNA,Navios Maritime Acquisition Corporation,"$46,863,331",Jun/2021,,3,NA,$2.01
time-not-supplied,SCKT,"Socket Mobile, Inc.","$40,774,356",Jun/2021,,3,NA,($0.13)
time-not-supplied,GIGM,GigaMedia Limited,"$32,383,048",Jun/2021,,3,NA,($0.04)
time-not-supplied,WVFC,WVS Financial Corp.,"$31,584,654",Jun/2021,,3,NA,$0.20
time-not-supplied,RSLS,"ReShape Lifesciences, Inc.","$15,680,000",Jun/2021,,3,NA,($1.62)
